title
Barbara Feldon
Dorothy Loudon
Faith Evans
Penny Singleton
Annette Funicello
Kellie Waymire
Eleanor Powell
Connie Stevens
Linda Blair
Laura Linney
E. G. Daily
Yancy Butler
Christine Jorgensen
Margaret Livingston
Helen Gahagan Douglas
Ethel Barrymore
Peaches Browning
Jean Louisa Kelly
Marcia Gay Harden
Anna Chlumsky
Terry Farrell
Vera-Ellen
Markie Post
Donna Reed
Mary Ann Mobley
Maggie Gyllenhaal
Lea Thompson
Jeri Ryan
Patricia Arquette
Catherine Oxenberg
Mila Kunis
Esther Rolle
Lori Loughlin
Michelle Bauer
Rachel Miner
Kath Soucie
Amy Sedaris
Jean Stapleton
Sally Struthers
Sharon Kane
Jayne Mansfield
Michelle Thomas
Tia Carrere
Helen O'Connell
Tracy Scoggins
Rita Moreno
Marla Sokoloff
Faith Ford
Betty White
Chase Masterson
Melissa Gilbert
Judith Light
Keri Russell
Evelyn Keyes
Sara Gilbert
Claudia Christian
Nana Visitor
Etta Moten Barnett
Denise Crosby
Natalie Cole
Hope Lange
Renee O'Connor
Mariska Hargitay
Madge Bellamy
Gertrude Berg
Maura Tierney
Katherine Helmond
Uta Hagen
Kim Raver
Catherine Bach
Cree Summer
Annette Bening
Ann Miller
Aisha Tyler
Frances Farmer
Barbara Bain
Michelle Phillips
Dinah Shore
Chloe Jones
Bo Derek
Holly Marie Combs
Vitamin C
Bambi Woods
Sally Rand
Lana Wood
Eleanor Holm
Thelma Todd
Allison Janney
Scarlett Pomers
Nancy Hower
Roxann Dawson
Piper Perabo
Penny Marshall
Ida Lupino
Nancy Walker
Linda Darnell
Madeline Kahn
Carole Landis
Margaret Dumont
Kate Capshaw
Patricia Clarkson
Mae Murray
Mary Kay Bergman
Marla Maples
Dominique Dunne
Ally Sheedy
Peri Gilpin
Juliette Lewis
Melanie Griffith
Susan Fleming
Andrea Martin
Shohreh Aghdashloo
Billie Burke
Eartha Kitt
Tatum O'Neal
Fanny Brice
Danielle Harris
Linda Hunt
Butterfly McQueen
Tina Louise
Natalie Schafer
Sheila Kuehl
Marjorie Main
Pamela Hensley
Susan Tyrrell
Jeanette MacDonald
Gabor sisters
Helen Reddy
Linda Bove
Dale Evans
Karen Allen
Elisabeth Shue
Mary McDonnell
Joan Allen
Amber Tamblyn
Angela Bassett
Julia Stiles
Yolanda Montes
Maya Rudolph
Lacey Chabert
Cecily Adams
Jan Miner
Kathy Bates
Ann Sheridan
Betty Field
Ann Sothern
Edie Sedgwick
Cloris Leachman
Susan Powter
Gretchen Mol
Robin Curtis
